time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-31T18:19:30.769Z,46.1661,150.9515,111.65,5.3,mb,,118,5.704,0.82,us,us7000gysf,2022-03-31T18:35:44.040Z,"261 km ENE of Kuril’sk, Russia",earthquake,8.8,6.1,0.023,641,reviewed,us,us
2022-03-31T18:02:18.259Z,-37.4779,-95.7516,10,4.9,mb,,207,18.688,1.09,us,us7000gysc,2022-03-31T18:48:02.040Z,"southeast of Easter Island",earthquake,9.1,2,0.097,33,reviewed,us,us
2022-03-31T15:54:28.668Z,-22.2363,170.1291,11.72,5.5,mww,,77,2.51,1.18,us,us7000gyr3,2022-03-31T17:58:06.781Z,"244 km ESE of Tadine, New Caledonia",earthquake,7.9,4.5,0.098,10,reviewed,us,us
2022-03-31T15:30:47.559Z,-22.575,170.8015,10,5.1,mww,,47,3.1,0.91,us,us7000gyr4,2022-03-31T16:33:01.040Z,"southeast of the Loyalty Islands",earthquake,8.5,1.8,0.098,10,reviewed,us,us
2022-03-31T15:29:53.361Z,-22.6414,170.6724,6.2,5.1,mb,,97,2.98,1.05,us,us7000gyqw,2022-03-31T15:45:38.040Z,"southeast of the Loyalty Islands",earthquake,7.7,4.8,0.107,28,reviewed,us,us
2022-03-31T15:23:32.219Z,-58.1044,-25.4112,46.39,5,mb,,69,7.267,0.73,us,us7000gyqv,2022-03-31T15:42:45.040Z,"South Sandwich Islands region",earthquake,10,7.1,0.071,68,reviewed,us,us
2022-03-31T14:34:12.534Z,35.0658,135.522,26.6,4.4,mb,,86,1.266,1.04,us,us7000gypw,2022-03-31T18:56:01.202Z,"9 km NW of Kameoka, Japan",earthquake,5.9,3.9,0.13,17,reviewed,us,us
2022-03-31T13:56:01.964Z,-21.4803,-178.4204,571.48,4.6,mb,,86,7.761,0.47,us,us7000gypu,2022-03-31T16:14:32.040Z,"Fiji region",earthquake,13.6,11.3,0.091,36,reviewed,us,us
2022-03-31T12:56:05.168Z,36.3695,-103.2039,5,3.4,mb_lg,,90,1.236,1.03,us,us7000gypi,2022-03-31T14:34:52.523Z,"9 km S of Clayton, New Mexico",earthquake,3.1,1.9,0.041,157,reviewed,us,us
2022-03-31T12:19:11.350Z,19.1883335113525,-155.485504150391,34.6399993896484,2.69,ml,50,74,,0.119999997,hv,hv72968747,2022-03-31T12:24:41.410Z,"1 km SSW of Pāhala, Hawaii",earthquake,0.48,0.74000001,3.05,23,automatic,hv,hv
2022-03-31T11:52:13.126Z,35.5282,140.0679,60.9,4.8,mb,,62,1.763,0.98,us,us7000gypa,2022-03-31T18:52:55.250Z,"1 km NW of Ichihara, Japan",earthquake,5.1,6.1,0.037,229,reviewed,us,us
2022-03-31T10:16:22.060Z,-22.6503,170.7582,10,5.1,mb,,107,3.059,0.63,us,us7000gyp3,2022-03-31T10:37:16.040Z,"southeast of the Loyalty Islands",earthquake,7.1,1.9,0.102,31,reviewed,us,us
2022-03-31T09:54:02.516Z,55.5071,-155.6917,40.4,3.1,ml,,,,0.74,ak,ak0224501qkv,2022-03-31T16:26:20.726Z,"185 km SSW of Akhiok, Alaska",earthquake,,6.9,,,reviewed,ak,ak
2022-03-31T09:49:09.477Z,61.3525,-146.7025,9.5,2.6,ml,,,,0.89,ak,ak0224500np0,2022-03-31T09:59:02.869Z,"31 km NW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-31T09:41:15.000Z,18.115,-66.2626666666667,13.89,2.77,md,36,90,,0.32,pr,pr71342828,2022-03-31T11:17:31.439Z,"0 km SW of Pastos, Puerto Rico",earthquake,0.4,0.99,0.309238267147211,18,reviewed,pr,pr
2022-03-31T08:16:30.000Z,37.4108333,-118.601,10.53,3.29,ml,29,61,0.06494,0.07,nc,nc73712606,2022-03-31T15:37:41.272Z,"0km SW of Round Valley, CA",earthquake,0.33,0.85,0.234,44,reviewed,nc,nc
2022-03-31T07:41:37.913Z,-22.3148,170.0587,10,4.7,mb,,82,2.434,0.89,us,us7000gynm,2022-03-31T08:34:56.040Z,"240 km ESE of Tadine, New Caledonia",earthquake,5.6,1.9,0.112,24,reviewed,us,us
